"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C20,C19,C18,C17,C16,C15,C14,C13,C12,C11,C10,C9,C8,C3,C2,C7,C1";"C_0805_2012Metric";17;"C_0805_0.1uf";;;
2;"R2,R9,R8,R10,R7";"R_0805_2012Metric";5;"R_0805_10K";;;
3;"R11,R12";"R_0805_2012Metric";2;"R_0805_4.7K";;;
4;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
5;"SW1,SW3,SW2,SW5,SW4";"SW_SPST_Omron_B3FS-100xP";5;"Omron_B3F_SPST";;;
6;"R3,R4,R5,R6";"R_0805_2012Metric";4;"R_0805_47";;;
7;"D2,D7,D8,D11,D10,D12,D13,D5,D4,D14,D9,D3,D6";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";13;"NEOPIXEL_SMT";;;
8;"C4,C5";"C_0805_2012Metric";2;"C_0805_22pf";;;
9;"TP6,TP4,TP5,TP1,TP3";"TestPoint_THTPad_D2.0mm_Drill1.0mm";5;"TestPoint";;;
10;"R1";"R_0805_2012Metric";1;"R_0805_2.2K";;;
11;"U2";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
12;"C6";"C_0805_2012Metric";1;"C_0805_1uf";;;
13;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
14;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
15;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
16;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
17;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
18;"U3";"TO-252-2";1;"L7805";;;
19;"U1";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
20;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
21;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
22;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
23;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
